  5.30000000000000e+00 -2.23825156345319e+00 1.40080170185991e-16 9.99999999999986e-01 8.64046746009888e-04  8.65428236314194e-04  1.54183663578852e-03 9.99987259681401e-01
  5.40000000000000e+00 -2.23825140916930e+00 -2.37494352021929e-17 9.99999999999986e-01 1.02452576482960e-03  1.02597916540657e-03  1.52214328508473e-03 9.99987213569908e-01
  5.50000000000000e+00 -2.23825124375320e+00 -3.03494364984552e-17 9.99999999999986e-01 1.17302691425332e-03  1.17454960957471e-03  1.45937218144941e-03 9.99987148331697e-01
  5.60000000000000e+00 -2.23825107733706e+00 -1.17978971320689e-17 9.99999999999985e-01 1.30455365614428e-03  1.30614290914027e-03  1.35211246554066e-03 9.99987076314693e-01
  5.70000000000000e+00 -2.23825092128026e+00 4.35333947139416e-17 9.99999999999985e-01 1.41420385453455e-03  1.41585681156306e-03  1.20015707228557e-03 9.99987012238260e-01
  5.80000000000000e+00 -2.23825078704819e+00 -2.55439837119007e-18 9.99999999999986e-01 1.49731983597982e-03  1.49903353200159e-03  1.00458558821692e-03 9.99986971820105e-01
  5.90000000000000e+00 -2.23825068490330e+00 -1.36640699921430e-16 9.99999999999985e-01 1.54964104572109e-03  1.55141240966355e-03  7.67813037391427e-04 9.99986970081548e-01
  6.00000000000000e+00 -2.23825062253601e+00 1.25438469579874e-16 9.99999999999983e-01 1.56745483539229e-03  1.56928069565994e-03  4.93601308101569e-04 9.99987019479680e-01
  6.10000000000000e+00 -2.23825060378471e+00 -1.39805061057414e-17 9.99999999999984e-01 1.54774073093041e-03  1.54961782111960e-03  1.87030917314675e-04 9.99987128056973e-01
  6.20000000000000e+00 -2.23825062760543e+00 7.14378197588581e-17 9.99999999999984e-01 1.48830347552503e-03  1.49022844026170e-03  -1.45568092531984e-04 9.99987297823065e-01
  6.30000000000000e+00 -2.23825068744532e+00 -1.38706522054442e-17 9.99999999999983e-01 1.38789022950226e-03  1.38985963045554e-03  -4.96726148193496e-04 9.99987523586983e-01
  6.40000000000000e+00 -2.23825077114789e+00 -1.70796519393168e-18 9.99999999999983e-01 1.24628754054788e-03  1.24829786256948e-03  -8.57983822813081e-04 9.99987792434536e-01
  6.50000000000000e+00 -2.23825086147268e+00 -9.09795982581761e-17 9.99999999999983e-01 1.06439407301321e-03  1.06644173042685e-03  -1.22007873818951e-03 9.99988083997999e-01
  6.60000000000000e+00 -2.23825093725357e+00 9.45706889920880e-17 9.99999999999983e-01 8.44265599096180e-04  8.46346942099908e-04  -1.57316600740965e-03 9.99988371593855e-01
  6.70000000000000e+00 -2.23825097514902e+00 9.01485075444944e-17 9.99999999999984e-01 5.89129398032849e-04  5.91240719224552e-04  -1.90706736493090e-03 9.99988624214332e-01
  6.80000000000000e+00 -2.23825095186237e+00 -1.93720758695213e-16 9.99999999999983e-01 3.03365968297441e-04  3.05503509299442e-04  -2.21154305931000e-03 9.99988809260236e-01
  6.90000000000000e+00 -2.23825084664468e+00 -9.55498777541733e-17 9.99999999999983e-01 -7.54318554896933e-06  -5.38322736424163e-06  -2.47657964389861e-03 9.99988895803945e-01
